id,name,rating,review_count,price,phone,latitude,longitude,city,state,zip_code,address,categories,url,categories_list,top_category
KgwygskE1jmpQtjQxEX-Kw,Red Oak Kitchen,4.2,245,$$,(432) 248-0101,31.9122898,-102.2958118,Odessa,TX,79765,"7260 E State Hwy 191 Ste 200 Odessa, TX 79765","New American,Bars",https://www.yelp.com/biz/red-oak-kitchen-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,"['New American', 'Bars']",New American
64M3w9TkesDKu5fn_EMylA,Curb Side Bistro,4.4,186,$$,(432) 272-0959,31.880709271808,-102.384301389025,Odessa,TX,79762,"3816 Andrews Hwy Odessa, TX 79762","New American,Comfort Food",https://www.yelp.com/biz/curb-side-bistro-odessa-2?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,"['New American', 'Comfort Food']",New American
gOZMxpZSn_8MOkDqG2-eKw,Flair Taverna,4.2,108,,(432) 653-5154,31.879857,-102.330436,Odessa,TX,79761,"2701 John Ben Shepperd Pkwy Odessa, TX 79761",Italian,https://www.yelp.com/biz/flair-taverna-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,['Italian'],Italian
8g9Nma29GHKShkdCxS42vA,Cork & Pig Tavern,4.1,600,$$,(432) 272-4569,31.9103459908978,-102.29795153311576,Odessa,TX,79765,"7260 E Hwy 191 Ste 204 Odessa, TX 79765","New American,Wine Bars,Cocktail Bars",https://www.yelp.com/biz/cork-and-pig-tavern-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,"['New American', 'Wine Bars', 'Cocktail Bars']",New American
7vCOj2WcGdGQBNu_9oUv-w,Mamasita's Mexican Grill,4.1,137,$$,(432) 362-7474,31.885632426207614,-102.33898997668672,Odessa,TX,79762,"4214 Maple Ave Odessa, TX 79762",Mexican,https://www.yelp.com/biz/mamasitas-mexican-grill-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,['Mexican'],Mexican
zH2rcK1kr43MVRBaL4ZERQ,The Cowboys Palace,3.6,18,,(432) 444-2717,31.894972,-102.339053,Odessa,TX,79762,"4101 E 42nd St Ste 121 Odessa, TX 79762","Diners,Breakfast & Brunch,Salad",https://www.yelp.com/biz/the-cowboys-palace-no-title?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,"['Diners', 'Breakfast & Brunch', 'Salad']",Diners
9CQwylOhxdvSxeUhMFZEVg,Benito’s Italian Cafe & Pizzeria,4.3,86,,(432) 614-4754,31.8533891,-102.31971451481448,Odessa,TX,79766,"2901 E Interstate 20 Odessa, TX 79766","Italian,Pizza,Salad",https://www.yelp.com/biz/benito-s-italian-cafe-and-pizzeria-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,"['Italian', 'Pizza', 'Salad']",Italian
QAQpN-A-j5g9VI6o72X6XA,F1 Bar & Grill Odessa,3.9,25,,(432) 282-0410,31.905232,-102.29938,Odessa,TX,79765,"7050 Tres Hermanas Blvd Odessa, TX 79765","American,Breakfast & Brunch,Cocktail Bars",https://www.yelp.com/biz/f1-bar-and-grill-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,"['American', 'Breakfast & Brunch', 'Cocktail Bars']",American
tEX7-Ea38ENQlWtxUXVCbA,The Legendary Barn Door Steakhouse,3.3,265,$$,(432) 337-4142,31.864789396248906,-102.37881456230238,Odessa,TX,79761,"2140 Andrews Hwy Odessa, TX 79761","Steakhouses,Seafood",https://www.yelp.com/biz/the-legendary-barn-door-steakhouse-odessa-5?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,"['Steakhouses', 'Seafood']",Steakhouses
j93I0Jqe1sMFE_QPnkwtUw,Wall Street Cocina - Odessa,4.8,5,,(432) 614-6136,31.89614535949764,-102.33844697794991,Odessa,TX,79762,"4101 E 42nd St Ste L4 Music City Mall Odessa, TX 79762",Mexican,https://www.yelp.com/biz/wall-street-cocina-odessa-odessa-2?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,['Mexican'],Mexican
